NAME                 STATUS   AGE
airflow              Active   218d
airflow-dev          Active   178d
airflow-prod         Active   178d
argocd               Active   178d
bootstrap-dev        Active   2d3h
bootstrap-prod       Active   2d3h
cert-manager         Active   196d
default              Active   233d
fastapi              Active   218d
fastapi-dev          Active   178d
fastapi-prod         Active   178d
feature-store-dev    Active   70m
feature-store-prod   Active   70m
ingress-nginx        Active   213d
kube-node-lease      Active   233d
kube-public          Active   233d
kube-system          Active   233d
local-path-storage   Active   92d
metallb-system       Active   177d
mlflow               Active   218d
mlflow-dev           Active   178d
mlflow-prod          Active   178d
mlops-storage-dev    Active   25h
mlops-storage-prod   Active   25h
nfs-provisioner      Active   86d
storage              Active   105d
triton-dev           Active   44d
triton-prod          Active   44d
